iter	Passed	Remaining
401	11470	17062
402	11497	17032
403	11524	17001
404	11551	16970
405	11578	16939
406	11606	16910
407	11633	16879
408	11659	16848
409	11687	16818
410	11714	16788
411	11740	16756
412	11767	16725
413	11799	16702
414	11827	16672
415	11855	16642
416	11881	16611
417	11907	16579
418	11933	16546
419	11958	16514
420	11984	16482
421	12010	16450
422	12035	16417
423	12062	16386
424	12088	16355
425	12115	16324
426	12141	16292
427	12167	16261
428	12193	16230
429	12219	16198
430	12246	16167
431	12271	16135
432	12298	16103
433	12326	16075
434	12351	16043
435	12378	16013
436	12404	15981
437	12429	15948
438	12455	15917
439	12481	15885
440	12507	15854
441	12533	15822
442	12560	15792
443	12585	15760
444	12613	15731
445	12637	15698
446	12664	15667
447	12691	15637
448	12718	15607
449	12744	15576
450	12769	15544
451	12797	15515
452	12823	15483
453	12849	15453
454	12875	15421
455	12900	15390
456	12938	15373
457	12964	15342
458	12990	15311
459	13018	15282
460	13043	15250
461	13069	15219
462	13094	15186
463	13120	15156
464	13146	15125
465	13171	15093
466	13196	15061
467	13223	15032
468	13253	15005
469	13280	14975
470	13305	14943
471	13331	14913
472	13359	14884
473	13385	14853
474	13410	14822
475	13437	14792
476	13465	14764
477	13492	14734
478	13518	14703
479	13544	14673
480	13571	14643
481	13598	14613
482	13624	14583
483	13650	14553
484	13676	14522
485	13710	14500
486	13736	14469
487	13762	14438
488	13788	14408
489	13813	14377
490	13838	14345
491	13866	14317
492	13895	14289
493	13921	14260
494	13949	14230
495	13975	14200
496	14001	14170
497	14027	14140
498	14054	14111
499	14081	14081
500	14108	14052
501	14135	14022
502	14161	13992
503	14186	13961
504	14212	13930
505	14238	13900
506	14263	13870
507	14290	13840
508	14318	13812
509	14343	13781
510	14369	13750
511	14395	13721
512	14421	13690
513	14447	13660
514	14472	13629
515	14500	13601
516	14531	13575
517	14558	13547
518	14585	13517
519	14612	13488
520	14640	13459
521	14667	13430
522	14694	13401
523	14721	13372
524	14748	13344
525	14775	13314
526	14801	13284
527	14828	13256
528	14856	13227
529	14884	13199
530	14911	13170
531	14938	13141
532	14966	13112
533	14992	13083
534	15019	13053
535	15045	13024
536	15083	13005
537	15111	12976
538	15137	12946
539	15164	12917
540	15190	12888
541	15216	12858
542	15242	12828
543	15268	12798
544	15294	12768
545	15319	12738
546	15344	12707
547	15370	12677
548	15397	12649
549	15424	12619
550	15451	12590
551	15476	12560
552	15502	12530
553	15527	12500
554	15553	12470
555	15580	12441
556	15605	12411
557	15632	12382
558	15657	12352
559	15684	12323
560	15710	12293
561	15735	12263
562	15762	12234
563	15788	12205
564	15814	12175
565	15841	12146
566	15867	12117
567	15892	12087
568	15918	12057
569	15943	12027
570	15968	11997
571	15995	11968
572	16020	11938
573	16047	11909
574	16075	11881
575	16103	11853
576	16128	11824
577	16157	11796
578	16184	11768
579	16209	11738
580	16235	11708
581	16262	11680
582	16288	11650
583	16315	11621
584	16341	11592
585	16368	11564
586	16393	11534
587	16419	11504
588	16444	11474
589	16469	11445
590	16496	11416
591	16523	11388
592	16549	11358
593	16575	11329
594	16601	11299
595	16626	11270
596	16653	11241
597	16679	11212
598	16706	11184
599	16731	11154
600	16759	11126
601	16784	11096
602	16809	11067
603	16835	11037
604	16861	11008
605	16886	10979
606	16913	10950
607	16939	10921
608	16964	10891
609	16990	10862
610	17017	10834
611	17045	10806
612	17074	10779
613	17104	10752
614	17132	10725
615	17171	10704
616	17202	10678
617	17232	10651
618	17270	10630
619	17301	10603
620	17330	10576
621	17358	10548
622	17387	10521
623	17420	10496
624	17450	10470
625	17477	10441
626	17504	10413
627	17531	10385
628	17557	10356
629	17583	10326
630	17609	10297
631	17635	10268
632	17662	10240
633	17686	10210
634	17713	10181
635	17742	10154
636	17771	10127
637	17801	10100
638	17832	10074
639	17860	10046
640	17886	10017
641	17913	9989
642	17944	9962
643	17973	9935
644	18010	9912
645	18040	9886
646	18070	9859
647	18108	9836
648	18137	9809
649	18165	9781
650	18192	9752
651	18220	9724
652	18246	9695
653	18273	9667
654	18301	9639
655	18329	9611
656	18356	9583
657	18384	9555
658	18414	9528
659	18444	9501
660	18473	9474
661	18502	9446
662	18531	9419
663	18560	9391
664	18589	9364
665	18617	9336
666	18646	9309
667	18675	9281
668	18704	9254
669	18733	9226
670	18762	9199
671	18790	9171
672	18826	9147
673	18850	9117
674	18876	9088
675	18901	9059
676	18928	9030
677	18954	9001
678	18979	8972
679	19004	8943
680	19030	8914
681	19056	8885
682	19086	8858
683	19127	8836
684	19156	8809
685	19185	8781
686	19213	8753
687	19241	8725
688	19270	8698
689	19299	8670
690	19329	8643
691	19357	8615
692	19385	8587
693	19414	8560
694	19443	8532
695	19470	8504
696	19496	8475
697	19522	8446
698	19548	8417
699	19574	8389
700	19600	8360
701	19626	8331
702	19658	8305
703	19685	8276
704	19711	8248
705	19736	8218
706	19762	8189
707	19789	8161
708	19817	8133
709	19844	8105
710	19870	8076
711	19898	8048
712	19927	8021
713	19956	7993
714	19985	7966
715	20013	7938
716	20043	7911
717	20071	7883
718	20100	7855
719	20129	7828
720	20159	7800
721	20187	7773
722	20214	7744
723	20241	7716
724	20268	7688
725	20294	7659
726	20322	7631
727	20346	7602
728	20372	7573
729	20398	7544
730	20424	7515
731	20451	7487
732	20476	7458
733	20504	7430
734	20532	7402
735	20560	7374
736	20594	7349
737	20624	7321
738	20654	7294
739	20682	7266
740	20712	7239
741	20741	7211
742	20769	7184
743	20798	7156
744	20827	7128
745	20856	7101
746	20882	7072
747	20908	7043
748	20934	7015
749	20960	6986
750	20986	6958
751	21011	6929
752	21046	6903
753	21072	6875
754	21098	6846
755	21122	6817
756	21149	6788
757	21174	6760
758	21209	6734
759	21238	6706
760	21267	6679
761	21295	6651
762	21324	6623
763	21353	6596
764	21382	6568
765	21412	6541
766	21443	6514
767	21474	6486
768	21503	6459
769	21534	6432
770	21565	6405
771	21595	6377
772	21630	6352
773	21657	6323
774	21685	6295
775	21712	6267
776	21738	6238
777	21765	6210
778	21793	6182
779	21820	6154
780	21845	6125
781	21871	6097
782	21895	6068
783	21922	6039
784	21948	6011
785	21973	5982
786	21999	5954
787	22026	5926
788	22053	5897
789	22080	5869
790	22108	5841
791	22136	5813
792	22164	5785
793	22192	5757
794	22221	5729
795	22250	5702
796	22278	5674
797	22306	5646
798	22333	5618
799	22362	5590
800	22387	5561
801	22413	5533
802	22439	5505
803	22466	5476
804	22493	5448
805	22518	5420
806	22543	5391
807	22569	5363
808	22596	5334
809	22623	5306
810	22650	5278
811	22683	5251
812	22714	5224
813	22744	5197
814	22778	5170
815	22808	5143
816	22838	5115
817	22864	5087
818	22892	5059
819	22917	5030
