iter	RMSE
124	0.2009859146
125	0.2009082864
126	0.2008462975
127	0.200774396
128	0.2007030893
129	0.2006243336
130	0.2004877941
131	0.2004160989
132	0.2002960633
133	0.2002172266
134	0.2000781432
135	0.2000116381
136	0.1998554739
137	0.1997969473
138	0.1996817994
139	0.1996098547
140	0.1995414248
141	0.1994397423
142	0.1993456893
143	0.1992592238
144	0.1991088299
145	0.1990715662
146	0.1989813695
147	0.1988952286
148	0.1987644989
149	0.1987087369
150	0.1986160865
151	0.1985167453
152	0.1984253127
153	0.1983646834
154	0.1982388354
155	0.1981178789
156	0.1979520691
157	0.1978794265
158	0.1977984013
159	0.1977168105
160	0.1976363573
161	0.1975432902
162	0.1974051138
163	0.1973136832
164	0.1972463138
165	0.1971971352
166	0.1971047219
167	0.1970171094
168	0.1969382334
169	0.1968291724
170	0.1966826824
171	0.1965840689
172	0.1965286678
173	0.1964231467
174	0.196317123
175	0.19622382
176	0.1960936579
177	0.1959507846
178	0.1958192794
179	0.1957063085
180	0.1956139696
181	0.1955111063
182	0.1954423124
183	0.1953103425
184	0.1952188842
185	0.1951600664
186	0.1950504165
187	0.1949474135
188	0.194870316
189	0.1948165928
190	0.1947575042
191	0.1946388414
192	0.1945687239
193	0.1944931573
194	0.1944290857
195	0.1943162031
196	0.1942231608
197	0.1941539743
198	0.194068554
199	0.1939716596
200	0.1938882083
201	0.1938033535
202	0.1937346408
203	0.1936453729
204	0.1935388921
205	0.1934621715
206	0.193382689
207	0.1933043141
208	0.193205945
209	0.1931222311
210	0.19303746
211	0.1929427455
212	0.1928780854
213	0.1928023307
214	0.1927158968
215	0.1926338536
216	0.1925655461
217	0.1924838412
218	0.1924051735
219	0.1923499756
220	0.1922314839
221	0.192131314
222	0.1919956031
223	0.1919208187
224	0.1918208062
225	0.1917445883
226	0.1916784805
227	0.1915792067
228	0.1914861903
229	0.1914120948
230	0.1913286584
231	0.191241507
232	0.191196513
233	0.1911106186
234	0.1910587799
235	0.1909558056
236	0.1908370247
237	0.1907532459
238	0.1906391193
239	0.1905678921
240	0.1904852746
241	0.1903956605
242	0.1903134056
243	0.1902582853
244	0.1901893945
245	0.1900821177
246	0.1900183984
247	0.1899341964
248	0.1898693804
249	0.1897737229
250	0.1897190652
251	0.1896513773
252	0.1896143224
253	0.18948983
254	0.18936802
255	0.1892866738
256	0.1892112588
257	0.1891090838
258	0.1890574356
259	0.1889639712
260	0.1888772311
261	0.1887591855
262	0.188672835
263	0.1885924846
264	0.1885273824
265	0.1884409203
266	0.1883401334
267	0.1882544709
268	0.1881890816
269	0.1881191988
270	0.1880252671
271	0.1879605008
272	0.187890387
273	0.1878089199
274	0.1877274891
275	0.1876195846
276	0.187523126
277	0.1874511841
278	0.1873437113
279	0.187286866
280	0.1871708597
281	0.1870874482
282	0.1870030773
283	0.1869318092
284	0.1868758193
285	0.1867905204
286	0.1867217636
287	0.1866781092
288	0.1866028312
289	0.1865249915
290	0.1864718375
291	0.1863759979
292	0.1862964349
293	0.1862176833
294	0.1861766898
295	0.1860998152
296	0.1860563745
297	0.1859590309
298	0.1858795667
299	0.1858174458
300	0.1857593623
301	0.1856812503
302	0.1856185309
303	0.1855571128
304	0.1854938899
305	0.1854421785
306	0.1853747691
307	0.1853043495
308	0.1852422235
309	0.1851750595
310	0.1850955049
311	0.1850201689
312	0.184906924
313	0.1848444191
314	0.1847763573
315	0.1846883143
316	0.1846465045
317	0.1845929968
318	0.1845529683
319	0.1844981654
320	0.1844358701
321	0.184379793
322	0.1842994325
323	0.1842439822
324	0.184224864
325	0.1841805845
326	0.184121296
327	0.1840166664
328	0.1839660189
329	0.1839124007
330	0.1838581075
331	0.1838014543
332	0.1837323588
333	0.1836752906
334	0.1836116342
335	0.1835581318
336	0.1835108009
337	0.1834602911
338	0.1834159821
339	0.1833651921
340	0.1833066334
341	0.1832401044
342	0.1831768518
343	0.1830887631
344	0.1830406805
345	0.182991745
346	0.1829398481
347	0.182893587
348	0.1828538672
349	0.1828107637
350	0.1827538703
351	0.182696924
352	0.1826154849
353	0.1825449495
354	0.1824587966
355	0.1823949806
356	0.1823319769
357	0.1822709067
358	0.182209453
359	0.1821569349
360	0.1821081736
361	0.1820600887
362	0.1819899891
363	0.1819178615
364	0.1818628578
365	0.1818000755
366	0.1817492814
367	0.1816892165
368	0.1816102424
369	0.1815830771
370	0.1815107922
371	0.1814557006
372	0.1813400357
373	0.1812876733
374	0.181232698
375	0.1812120887
376	0.1811628248
377	0.1811123198
378	0.1810528851
379	0.1810067345
380	0.1809469615
381	0.1808656047
382	0.1807997418
383	0.1807280372
384	0.1806671726
385	0.1806122031
386	0.1805651465
387	0.1805281386
388	0.1804349962
389	0.1803908896
390	0.1803455416
391	0.1802656731
392	0.1802109065
393	0.1801753784
394	0.1801407208
395	0.180046422
396	0.1799899006
397	0.179905365
398	0.1798578159
399	0.1798230086
400	0.1797598685
401	0.1796622185
402	0.1796140965
403	0.17958351
404	0.1795440572
405	0.1794826734
406	0.1793952358
407	0.179332166
408	0.1792666234
409	0.1792195536
410	0.1791587906
411	0.1790976277
412	0.1790612913
413	0.1790210761
414	0.1789623573
415	0.1789097856
416	0.1788585507
417	0.178812648
418	0.1787523685
419	0.1786612935
420	0.178602812
421	0.1785599384
422	0.1785126019
423	0.1784856772
424	0.1784317502
425	0.1783615763
426	0.1783242849
427	0.1782949877
428	0.1782415186
429	0.1781726504
430	0.1781251203
431	0.1780742742
432	0.1780325758
433	0.1779877228
434	0.1779175028
435	0.1778557997
436	0.1777934855
437	0.1777454282
438	0.1776929987
439	0.1776252071
440	0.177587696
441	0.1775470937
442	0.1774999148
443	0.1774458033
444	0.1774046826
445	0.1773778306
446	0.1773126598
447	0.1772371132
448	0.1771767069
449	0.1771087425
450	0.1770770042
451	0.1770147721
452	0.1769581338
453	0.1768565587
454	0.1768142255
455	0.1767753846
456	0.1767563523
457	0.1766898901
458	0.1766491351
459	0.1765774049
460	0.1765448359
461	0.1765102359
462	0.1764956416
463	0.1764322126
464	0.1763933455
465	0.1763429609
466	0.1762958373
467	0.1762435875
468	0.1761978233
469	0.1761384667
470	0.1761035163
471	0.176066025
472	0.1760114424
473	0.1759771778
474	0.1759425361
475	0.17586989
476	0.1758066281
477	0.175743675
478	0.1757022934
479	0.1756272737
480	0.1755581756
481	0.1755225633
482	0.1754739796
483	0.1754313748
484	0.1754011317
485	0.1753415728
486	0.1753197383
487	0.1752629215
488	0.17522549
489	0.1751997073
490	0.1751642603
491	0.1750972033
492	0.1750562356
493	0.174992274
494	0.1749456846
495	0.1749012816
496	0.1748675139
497	0.1748202695
498	0.1747264591
499	0.1746878671
500	0.1746397542
501	0.1745996713
502	0.1745466337
503	0.1745209783
504	0.174456268
505	0.1744158956
506	0.1743692918
507	0.1743248633
508	0.1742448681
509	0.174198168
510	0.1741465305
511	0.1740995056
512	0.1740546847
513	0.1740162091
514	0.1739601266
515	0.1738762897
516	0.1738379792
517	0.1737796474
518	0.1737092791
519	0.1736787733
520	0.1736179831
521	0.1735807298
522	0.1735382065
523	0.1734996328
524	0.1734543911
525	0.1734030132
526	0.173379201
527	0.173331281
528	0.1732970842
529	0.1732685879
530	0.1732197812
531	0.1731896284
532	0.1731338409
533	0.1731162351
534	0.1730704995
535	0.1730188641
536	0.1729858859
537	0.1729358124
538	0.1728715928
539	0.1728240383
540	0.17277076
541	0.1727289724
542	0.1726672494
543	0.1726196696
544	0.1725687284
545	0.1725512973
546	0.1725192769
547	0.1724808804
548	0.1724423227
549	0.1724082531
550	0.1723593441
551	0.1723259225
552	0.1722772603
553	0.1722276789
554	0.1721665476
555	0.1721074996
556	0.1720786652
557	0.1720201441
558	0.1719871002
559	0.1719369045
560	0.1719088119
561	0.1718736949
562	0.171809707
563	0.1717759705
564	0.1717391425
565	0.171679697
566	0.1716451704
567	0.1715830379
568	0.1715421394
569	0.1714971321
570	0.1714748771
571	0.1714311091
572	0.1713903585
573	0.1713535096
574	0.1713040949
575	0.171254095
576	0.1712247435
577	0.1711654027
578	0.1711115431
579	0.1710732144
580	0.171034934
581	0.170980235
582	0.1709475783
583	0.1709190826
584	0.1708493191
585	0.170793595
586	0.1707823898
587	0.1707479573
588	0.1707041858
589	0.1706651682
590	0.1706319586
591	0.1706183389
592	0.1705893822
593	0.1705464456
594	0.1705136955
595	0.1704568284
596	0.1704059891
597	0.1703529982
598	0.1703007264
599	0.1702581702
600	0.1702045078
601	0.1701648491
602	0.170144201
603	0.1701029975
604	0.1700498354
605	0.1700146171
606	0.1699231472
607	0.1698968655
608	0.1698478572
609	0.1698006591
610	0.1697340852
611	0.169698481
612	0.1696678135
613	0.1696411183
614	0.1696138669
615	0.1695724979
616	0.1695177177
617	0.1694436879
618	0.1694114773
619	0.169362831
620	0.169327245
621	0.1693151308
622	0.1692952662
623	0.1692433477
624	0.1692034219
625	0.1691663771
626	0.1691313756
627	0.1691033481
628	0.169051318
629	0.1690101313
630	0.168966077
631	0.1689346416
632	0.1688895667
633	0.1688563989
634	0.1687932048
635	0.1687415969
636	0.1687105104
637	0.168658343
638	0.16860614
639	0.1685832675
640	0.1685686546
641	0.168530261
642	0.1684923891
643	0.1684602746
644	0.1683854149
645	0.1683372142
646	0.1682987175
647	0.1682601184
648	0.1682117275
649	0.1681667914
650	0.1681159511
651	0.1680551992
652	0.1680313142
653	0.167996305
654	0.1679780025
655	0.1679395219
656	0.1679224398
657	0.167912074
658	0.1678760914
659	0.1678289918
660	0.1677982539
661	0.1677295679
662	0.1676903659
663	0.1676567835
664	0.1675822007
665	0.1675532002
666	0.1675006646
667	0.1674653445
668	0.1674447927
669	0.167395659
670	0.1673475429
671	0.1672857359
672	0.167252469
673	0.1672247523
674	0.1671913809
675	0.1671192103
676	0.1670748024
677	0.1670541684
678	0.1670246683
679	0.1669947139
680	0.1669730573
681	0.166938788
682	0.1668886535
683	0.1668542791
684	0.1668456153
685	0.1667973021
686	0.166785822
687	0.1667284718
688	0.1666940047
689	0.1666410093
690	0.1666027755
691	0.1665558935
692	0.1665196981
693	0.1664690545
694	0.1664239645
695	0.1663815318
696	0.1663256905
697	0.1662971397
698	0.1662396785
699	0.1662009187
700	0.1661605656
701	0.1661403644
702	0.1661112816
703	0.1660737142
704	0.1660278079
705	0.1659967556
706	0.1659812854
707	0.1659632969
708	0.1659019126
709	0.1658761338
710	0.1658500419
711	0.1658074882
712	0.1657784228
713	0.1657466413
714	0.1657099092
715	0.1656609419
716	0.165630675
717	0.1655963777
718	0.1655628579
719	0.1655119291
720	0.1654921668
721	0.1654615635
722	0.1654108705
723	0.1653873109
724	0.165361575
725	0.1653305677
726	0.1652968068
727	0.1652687476
728	0.1652439358
729	0.1652067038
730	0.1651456834
731	0.1651113883
732	0.1650880296
733	0.16505214
734	0.1650217581
735	0.1649909125
736	0.1649604938
737	0.1649377063
738	0.1648994865
739	0.1648707961
740	0.1648287677
741	0.1648205176
742	0.1647949432
743	0.1647595751
744	0.1647264164
745	0.1646892851
746	0.164657074
747	0.1646172062
748	0.1646010935
749	0.1645700819
750	0.1645346428
751	0.1645028865
752	0.1644703337
753	0.1644424548
754	0.1644150501
755	0.1643906755
756	0.1643760965
757	0.1643450099
758	0.1643152935
759	0.1642917861
760	0.1642558027
761	0.1642217837
762	0.1642085182
763	0.1641766162
764	0.1641352176
765	0.1640979709
766	0.1640640844
767	0.1640214729
768	0.1639984688
769	0.1639584859
770	0.1639243051
771	0.1638769923
772	0.1638311322
773	0.1637963723
774	0.163773969
775	0.1637470631
776	0.163717104
777	0.1636936787
778	0.1636424535
779	0.1635957019
780	0.1635515594
781	0.1635128467
782	0.163494126
783	0.1634550165
784	0.163417841
785	0.1633788637
786	0.1633498876
787	0.1633000683
788	0.163256326
789	0.1632177805
790	0.1631872575
791	0.1631472492
792	0.1631228029
793	0.163096643
794	0.1630523383
795	0.1630183637
796	0.1629880224
797	0.162966452
798	0.1629379098
799	0.1628914705
800	0.1628620484
801	0.1628088956
802	0.1627818241
803	0.1627455221
804	0.1626785691
805	0.1626593758
806	0.1626380483
807	0.1626054307
808	0.1625670558
809	0.1625239114
810	0.1624950439
811	0.1624521983
812	0.1624270478
813	0.1623819398
814	0.1623387403
815	0.162301686
816	0.1622730756
817	0.1622476913
818	0.1622032519
819	0.1621857181
820	0.1621524041
821	0.1621156333
822	0.162091252
823	0.1620456288
824	0.1620136929
825	0.161965627
826	0.1619372027
827	0.1618649224
828	0.1618218302
829	0.1617820588
830	0.161724866
831	0.1616993461
832	0.1616619323
833	0.1616395962
834	0.1616170566
835	0.1615736001
836	0.1614992068
837	0.1614670128
838	0.1614034144
839	0.1613688438
840	0.1613201442
841	0.1612898846
842	0.1612577358
843	0.16122472
844	0.1612034101
845	0.161163924
846	0.1611159648
847	0.161087382
848	0.1610582553
849	0.1610338849
850	0.1609863636
851	0.1609639303
852	0.1609424208
853	0.1609324194
854	0.1608988764
855	0.1608575178
856	0.1608151605
857	0.1607828954
858	0.1607631048
859	0.16074213
860	0.1606937915
861	0.1606658509
862	0.1606577723
863	0.1606196647
864	0.160585271
865	0.1605471169
866	0.1605207641
867	0.160484245
868	0.160448378
869	0.1604306639
870	0.160397672
871	0.1603706128
872	0.160352353
873	0.1603422049
874	0.1602874955
875	0.1602450627
876	0.160221271
877	0.1601711934
878	0.160139379
879	0.1600905914
880	0.1600537292
881	0.160020786
882	0.1599811861
883	0.1599535397
884	0.1599151919
885	0.159885698
886	0.1598636822
887	0.1598491741
888	0.1598197679
889	0.1597936182
890	0.159744398
891	0.159691705
892	0.1596540067
893	0.1596243862
894	0.1595980939
895	0.1595526855
896	0.1595196314
897	0.1594801302
898	0.1594494596
899	0.1594224135
900	0.1593791337
901	0.1593575916
902	0.1593186517
903	0.1592861928
904	0.1592494186
905	0.1592265328
906	0.1592024183
907	0.1591753572
908	0.1591407359
909	0.1591108704
910	0.1590747758
911	0.1590331358
912	0.1589985055
913	0.1589632032
914	0.158936393
915	0.1588956822
916	0.1588560106
917	0.1588216276
918	0.1587948877
919	0.1587522171
920	0.1587113052
921	0.1586886436
922	0.1586663295
923	0.1586438498
924	0.1586085162
925	0.1585802221
926	0.1585426038
927	0.1585028558
928	0.1584614891
929	0.1584242768
930	0.1583806332
931	0.1583309288
932	0.1583062776
933	0.1582742811
934	0.1582456813
935	0.1582056912
936	0.1581825349
937	0.1581492509
938	0.1581393138
939	0.1581054689
940	0.1580699013
941	0.1580289517
942	0.1580055343
943	0.1579576041
944	0.1579315377
945	0.1579054291
946	0.1578709016
947	0.1578424542
948	0.1578020632
949	0.1577916348
950	0.1577687072
951	0.1577439952
952	0.1577116678
953	0.1576873999
954	0.1576592365
955	0.1576149882
956	0.1575764934
957	0.1575519229
958	0.1574959859
959	0.1574667137
960	0.1574565815
961	0.1574123709
962	0.1573761641
963	0.1573648237
964	0.1573243244
965	0.1572907822
966	0.1572584973
967	0.1572318037
968	0.1571873452
969	0.1571485389
970	0.15712456
971	0.1570865045
972	0.1570633503
973	0.157054343
974	0.1570271532
975	0.1569956599
976	0.1569641095
977	0.1569432019
978	0.1568902051
979	0.1568554705
980	0.1568404536
981	0.1568153478
982	0.1567488065
983	0.1566990164
984	0.156676199
985	0.1566595596
986	0.1566158247
987	0.1565805625
988	0.1565565355
989	0.1565221689
990	0.1564884625
991	0.156439718
992	0.1564020452
993	0.1563840551
994	0.1563442721
995	0.1563226498
996	0.1563023122
997	0.1562583657
998	0.1562231711
999	0.1561809871
